TC-14,The Ambassadors are Jedi Knights I believe,FALSE
PR-4,I'm not made to think.,FALSE
KI-ADI,Impossible! The Sith have been extinct for a millenium,FALSE
KI-ADI,YOur thoughts dwell on your mother,FALSE
KI-ADI,The Force is strong with him,FALSE
KI-ADI,Events are moving fast...too fast,FALSE
KI-ADI,I sense he will reveal himself again,FALSE
QUI-GON,Not likely,FALSE
ANAKIN,But I..,FALSE
AKS MOE," The Congress of Malastare concurs with the honorable delegate
from the Trade Federation. A commision must be appointed...that is the law",FALSE
AMIDALA,Beware Viceroy....the Federation is going too far this time,FALSE
AMIDALA,Senator Palpatine?!?  What's happening?,FALSE
AMIDALA,Either choice presents a great risk...to all of us..,FALSE
AMIDALA,"  Clean this droid up the best you can. It deserves our
gratitude... Continue Captain.",FALSE
AMIDALA,Who is it,FALSE
AMIDALA,I've sent Padme on an errand,FALSE
AMIDALA," Honorable representatives of the Republic distinguished
delegates and Your Honor Supreme Chancellor Valorum I come to you under
the gravest of circumstances. The Naboo system has been invaded by force.
Invaded...against all the laws of the Republic by the Droid Armies of the
Trade..",FALSE
AMIDALA,"  I will not defer...I have come before you to resolve
this attack on our sovereignty now. I was not elected to watch my people
suffer and die while you discuss this invasion in a committee. If this body
is not capable of action I suggest new leadership is needed. I move for a
""vote of no confidence""...in Chancellor Valorum's leadership",FALSE
AMIDALA,I am Queen Amidala of the Naboo...I come before you in peace,FALSE
AMIDALA,We wish to form an alliance...,FALSE
AMIDALA," Congratulations on youer election Chancellor. It is so good to
see you again",FALSE
AMIDALA," You will not be pleased when you hear what I have to say
Viceroy...Your trade boycott of our planet has ended.",FALSE
AMIDALA," I have word that the Senate is finally voting on this blockade of
yours",FALSE
AMIDALA,It is to be commended...what is its number?,FALSE
AMIDALA,Thank you Artoo Detoo. You have proven to be very loyal...Padme!,FALSE
AMIDALA,Chancellor Valorum seems to think there is hope,FALSE
AMIDALA,We will tell her for you. We're sure her heart goes with you.,FALSE
AMIDALA,I wish I had your confidence in this Senator,FALSE
AMIDALA,To motivate us I imagine..,FALSE
AMIDALA," I welcome your help. Senator Palpatine fears the Federation means
to destroy me",FALSE
AMIDALA,Yes. I need your help.,FALSE
AMIDALA,We will see.,FALSE
AMIDALA,I will not co-operate,FALSE
AMIDALA,Thank you Ambassador but my place is here with my people,FALSE
AMIDALA,I am grateful for your concern Chancellor.,FALSE
AMIDALA,Who else can be nominated,FALSE
AMIDALA,I'm going to take back what's ours,FALSE
AMIDALA," Enough of this pretense Viceroy! I'm aware the Chancellor's
Ambassadors are with you now and that you have beencommanded to reach a
settlement",FALSE
AMIDALA," Then I will plead our case before the Senate.  Be
careful Governor.",FALSE
AMIDALA,What options do we have,FALSE
AMIDALA," You truely believe Chancellor Valorum will not bring our motion
to a vote",FALSE
AMIDALA,I don't know,FALSE
AMIDALA," Don't jump to conclusions Governor. The Federation would not
dare go that far",FALSE
AMIDALA,He has been our strongest supporter. Is there any other way,FALSE
AMIDALA,I hope not,FALSE
AMIDALA," I fear by the time you have control of the bureaucrats Senator
there will be nothing left of our cities our people our way of life..",FALSE
AMIDALA,Jar Jar Binks!,FALSE
AMIDALA,We must continue to rely on negotiation,FALSE
AMIDALA," There's no time for that. The courts take even longer to decide
things than the Senate. Our people are dying Senator...more and more each
day. We must do something quickly to stop the Federation",FALSE
AMIDALA," With the Senate in transition there is nothing more I can do
here...Senator this is your arena. I feel I must return to mine. I have
decided to go back to Naboo. My place is with my people",FALSE
AMIDALA,I will not condone a course of action that will lead us to war.,FALSE
AMIDALA,There is something I cannot do.,FALSE
AMIDALA," I will sign no treaty Senator. My fate will be no different from
that of our people. Captain",FALSE
AMIDALA,Ready my ship,FALSE
AMIDALA," No place is safe if the Senate doesn't condemn this invasion. It
is clear to me now that the Republic no longer functions as a democracy. If
you win the election Senator I know you will do everything possible to
stop the Federation. I pray you will bring sanity and compassion back to
the Senate.",FALSE
ANAKIN,Are you an angel,FALSE
ANAKIN,You must be one...maybe you just don't know it,FALSE
ANAKIN,I am a person! My name is Anakin,FALSE
ANAKIN,You are a strange girl to me.,FALSE
ANAKIN,Hit the nose!,FALSE
ANAKIN," ...wouldn't have lasted long if I weren't so good at fixing
things. I'm making my own droid...",FALSE
ANAKIN,I'm glad I met you too.,FALSE
ANAKIN,"  Chess ko Sebulba...Coo wolpa tooney rana. (Careful
Sebulba...This one's very connected.)",FALSE
ANAKIN,"  Eh chee bana do mullee ra. (Yeah it'd be a pity if
you had to pay for me.)",FALSE
ANAKIN,"  Hi! Your buddy here was about to be turned into orange
goo. He picked a fight with a Dug. An especially dangerous Dug called
Sebulba",FALSE
ANAKIN,How are you feeling today Jira,FALSE
ANAKIN,"  Whoops I thought I had more...Make thgat three I'm not
hungry.",FALSE
ANAKIN,Mom! Mom! I'm home,FALSE
ANAKIN,Isn't he great?! He's not finished yet,FALSE
ANAKIN,Have you ever seen a Podrace?,FALSE
ANAKIN,"  Mom what? I'm not bragging. It's true. Watto says he's
never heard of a human doing it",FALSE
ANAKIN,I...I was wondering...something..,FALSE
ANAKIN," But Mom I love it...and they need help...they're in trouble. The
prize money would more than pay for the parts they need. JAR JAR : Wesa ina
pitty bad goo",FALSE
ANAKIN," We have to help them Mom...you said that the biggest problem in
the universe is no one helps each other..",FALSE
ANAKIN," Ahhhh....it wasn't my fault really...Sebulba flashed me with his
vent ports. I actually saved the Pod...mostly",FALSE
ANAKIN," Padme and Jar Jar this is my friend Kitster and seek Amee and
Wald.",FALSE
ANAKIN,Hey! Jar Jar! Stay away from those energy binders..,FALSE
ANAKIN,What are you doing,FALSE
ANAKIN,You were in my dream...you were leading a huge army into battle,FALSE
ANAKIN,Hook 'em up Kitster.  I won't be long. Where's Qui-Gon?,FALSE
ANAKIN,What did he mean by that?,FALSE
ANAKIN,...but Kitster's right I will this time,FALSE
ANAKIN,Ah gee...enough of this..,FALSE
ANAKIN,Mom he sold the Pod. Look at all the money we have!,FALSE
ANAKIN," Did you hear that Mom?  Was that part of the prize
or what",FALSE
ANAKIN,I want to go,FALSE
ANAKIN,"  What about Mom? Is she free too? You're coming aren't
you Mom
QUI-GON : I tried to free your mother Annie but Watto wouldn't have it",FALSE
ANAKIN,I'm going to miss you so much Mom..,FALSE
ANAKIN,Well Threepio I'm free...and I'm going away...in a starship..,FALSE
ANAKIN,I can't do it Mom. I just can't.,FALSE
ANAKIN," I've been freed and I'm going away. Buy yourself a cooling unit
with this... Otherwise I'll worry about you.",FALSE
ANAKIN,What is it,FALSE
