Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,,,,USA
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,10,10,10,43,45,158,46,14,362,68,42,1,,53,45,198,4,,299,5,54,1,,63,3,26,2,,68,,,60,,15,,USA
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,17,9,,,,,,11,,,18,25,,,9,,1,,,61,,,,,,,,,,,,,56,,54,,USA
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Belgium,35,301,747,465,209,299,341,286,288,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,33,476,286,503,422,583,575,287,91,91,407,203,312,114,13,11,11,5,3,18,26,48,18,18,45,21,9,3,3,4,6,12,3,2,6,2,2,7,4,USA
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,USA
Benin,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Biafra,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Bolivia,,6,,,2,,,,26,3,,4,2,4,2,1,1,14,13,1,2,1,13,10,2,18,16,1,4,1,1,5,1,,,6,6,,56,61,,11,9,13,9,,,,,9,18,,,,,,,,,,,1,1,1,6,,,USA
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,25,,16,,,,,,,,,,,,,,,,,,USA
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10,17,4,10,,,1,,,,18,,,,15,,,,,,,,2,2,,,,,,,USA
Brazil,,247,,28,8,53,14,110,135,125,63,191,45,84,25,147,54,218,140,34,73,108,319,373,142,429,179,9,101,10,11,12,2,2,2,23,34,100,44,332,39,12,7,,37,,45,131,,11,22,111,70,8,20,18,18,19,33,0,24,84,111,69,17,35,45,USA
Brunei,,,,,,,,,,,,,,,,1,,,1,,5,10,,,14,,,,,,,1,12,26,,,13,,,,,,,,,,7,16,7,,,,,0,0,,,,,,,,,15,36,36,,USA
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,5,,,3,,,,3,,USA
Burkina Faso,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,USA
Cambodia,,,,,,4,11,4,4,,,0,3,8,4,,9,2,,,6,21,99,122,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,2,,1,0,USA
Canada,557,941,1008,1340,890,937,611,245,187,206,160,1571,1194,912,675,451,273,104,249,485,611,455,309,56,196,223,13,13,13,35,383,395,220,646,646,847,809,764,655,12,19,425,121,117,317,328,316,261,66,104,160,85,30,57,71,96,68,409,359,99,197,319,189,162,194,308,157,USA
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,USA
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,14,3,9,57,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,USA
Chile,1,247,16,10,28,5,40,24,32,2,32,43,19,121,21,37,56,,15,8,62,45,43,66,118,183,198,0,13,5,11,2,23,3,12,4,6,7,9,13,8,12,69,26,18,32,10,6,17,13,19,14,,8,16,,254,81,,30,132,39,38,31,61,81,18,USA
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,98,,,16,,,,,0,35,2,2,,,,,,,,,,,,,,,,,,,,,USA
Colombia,3,4,12,12,31,13,14,15,24,10,5,62,3,20,6,18,32,15,32,119,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,105,84,44,60,272,124,96,,4,27,122,16,147,58,80,77,99,56,52,29,USA
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,USA
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Costa Rica,,,,,,3,,,,,,,,1,,,0,,,,,,,2,,3,,,6,,1,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,USA
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,USA
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,55,,,,,,,,,,,,,22,,22,USA
Cuba,,9,0,0,3,13,35,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,,USA
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,28,18,,40,0,,14,1,2,3,2,0,,0,,USA
Denmark,17,36,326,395,33,52,63,57,53,250,109,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,41,42,142,57,399,433,441,218,59,77,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,40,18,8,140,26,8,85,6,0,,,36,32,32,46,90,USA
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,1,USA
Dominican Republic,2,11,10,21,2,,1,1,2,4,16,11,,7,4,10,9,1,,,1,2,7,0,,2,12,,,,9,5,30,,25,0,,,2,,,,,,,,4,,6,,,5,0,8,35,,,,,,,,,,,1,0,USA
DR Congo,,,,,,,,,,,,9,5,27,77,25,16,16,7,,,72,,,,89,2,31,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,USA
Ecuador,,,,11,,,6,,13,,66,,,3,3,29,9,21,5,1,5,2,,5,2,5,60,91,22,11,133,6,5,15,39,8,,18,17,4,3,21,,18,4,22,,43,6,,,,0,,,4,,,,1,10,,,,,,,USA
Egypt,24,1,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,9,339,414,890,1369,985,386,457,1043,1145,306,205,430,841,929,1007,1794,1644,769,895,457,455,823,809,477,345,500,588,453,396,263,82,249,160,177,494,182,593,238,USA
El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,,10,14,10,8,1,1,6,5,32,11,60,44,5,,,,,21,4,,,4,4,,2,,,,19,10,,,,,,,,,2,,,,,USA
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,5,,10,,,USA
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,11,,,,,,,,,,,,2,2,USA
Ethiopia,,,,6,,,1,5,23,6,17,3,16,27,4,12,97,25,33,1,66,45,5,5,16,51,104,22,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,10,,,USA
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,0,,,,36,36,,150,343,390,534,760,466,,5,,,,,,9,9,9,2,,75,44,98,102,USA
France,218,466,578,1060,1051,1041,1134,631,1040,792,470,318,136,63,1163,241,37,39,47,71,94,103,78,85,20,13,230,239,230,,,,,4,,,,84,117,87,26,817,314,18,5,5,3,82,139,93,70,66,20,17,78,2,2,,2,,51,23,39,55,17,17,32,USA
Gabon,,,,,,,,,,,,,,,,,,,,3,,,,,,35,29,28,2,,,32,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,USA
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2,4,,,,,1,,16,USA
Germany (FRG),,,,,,85,1262,1825,2164,726,872,824,1284,2575,2822,2776,2546,889,818,1039,1357,2181,523,1240,1600,1502,1301,969,622,28,104,190,268,261,282,87,272,321,383,642,678,648,650,524,383,189,164,61,543,75,73,99,42,22,89,56,16,16,269,319,255,47,25,42,46,5,5,USA
Ghana,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,8,,,,,,2,,,,2,2,,4,,,USA
Greece,95,399,307,86,79,107,92,354,447,286,254,82,330,98,527,486,202,241,69,233,100,303,166,191,418,681,971,440,504,314,245,207,41,99,86,56,87,31,110,762,766,342,1400,361,195,531,104,651,990,280,258,239,173,1521,823,102,20,253,10,924,151,19,6,9,61,92,22,USA
Guatemala,,6,,,2,8,6,,,,16,,1,7,8,5,,1,16,1,,45,1,1,10,28,7,,,,1,38,16,0,7,0,2,0,0,0,0,0,,13,4,4,,,,,,,,,,,,,,,,,,,,,,USA
Guinea,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,2,,,,2,4,1,1,0,9,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Honduras,,1,2,,1,,9,1,20,1,,,14,,,1,5,,,2,,,,2,,31,6,11,,9,13,13,29,12,17,9,66,12,43,16,,,,,,,,,,,,,,,,,,,0,,,0,0,,,2,1,USA
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,4,18,4,,2,,,,USA
India,,1,67,,52,189,4,3,,,,102,1,94,,,,,2,1,1,2,2,1,1,1,1,,,,,,,,,,4,1,38,2,4,6,20,,8,,2,4,2,4,1,8,5,,,,84,89,5,2,54,203,139,986,1141,291,23,USA
Indonesia,0,0,0,6,0,1,,18,61,,182,184,15,3,2,1,7,1,1,1,20,86,5,46,71,,82,50,85,56,307,87,187,122,24,11,22,0,60,64,188,2,,4,4,4,19,23,8,24,4,4,4,8,4,4,11,17,14,,,0,35,85,150,82,94,USA
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Iran,4,6,0,1,75,110,121,53,129,105,10,107,110,137,141,182,437,179,775,1146,1078,1182,646,1340,2170,4038,3989,4445,2101,214,,,,,10,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Iraq,,,,,,,21,4,4,,,,,,,,,,,,,,,,,,,,,,,,,27,,9,9,30,125,,,,,,,,,,,,,,,,6,43,55,150,281,311,343,397,340,255,285,791,893,USA
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,,,,,11,,,,,,,,4,,,,,,,,,,,,1,3,3,,,,,,,,,USA
Israel,2,1,4,6,0,1,3,10,2,13,,15,46,4,96,149,134,123,600,1210,770,1287,849,1899,1075,1403,1930,1099,1325,639,1208,1645,864,484,278,300,1178,1080,582,24,81,1212,1313,715,752,359,77,42,1273,691,102,115,323,104,839,1114,1110,839,663,134,41,59,107,65,121,249,526,USA
Italy,138,203,335,687,302,478,1112,890,415,407,320,225,478,857,1059,668,380,91,175,457,531,714,1344,761,783,732,432,241,415,452,322,101,172,234,204,128,137,126,128,75,94,141,126,166,144,91,149,267,6,,224,176,154,473,401,68,22,42,43,14,30,231,161,25,94,242,511,USA
Jamaica,,,,,,,,,,,,,,1,0,,,,,,,1,,13,7,4,1,,4,,,0,,,,5,3,,,4,,,,,,,,,10,5,,,,,,,,3,2,,1,,,,,0,0,USA
Japan,,,8,222,317,411,758,1046,1233,661,830,328,219,204,1799,1209,303,598,531,498,637,774,665,633,982,1653,1632,909,1020,944,1015,1287,1392,1618,1932,1847,1764,1854,1880,2152,2558,2854,2450,1997,978,1137,813,786,1443,1204,445,401,395,415,355,348,412,489,661,578,348,276,217,250,292,324,307,USA
Jordan,,,,,,,,,1,,,,,1,,15,72,70,28,121,119,49,55,35,54,307,311,461,586,270,352,150,224,101,233,177,,11,5,8,16,,,1,5,19,75,77,247,6,22,21,15,102,36,5,3,164,32,15,6,24,38,39,53,58,68,USA
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,6,3,3,,,3,,3,,3,USA
Kenya,,,,,,,,,,,,,,,,,,,1,,0,,,2,,,,,142,3,25,60,23,,,6,,,,,4,4,,,,,,,,,,,,,,,,,,,,1,1,,,1,19,USA
Kuwait,,,,,,,,,,,,,,,,,,,,,,58,,,2,4,16,321,327,7,19,,,141,64,76,31,6,,,5,41,896,664,18,396,1003,315,19,5,,,,21,,5,5,279,,1,37,36,22,52,681,311,165,USA
Laos,,,,,,,1,1,10,0,3,4,14,12,7,7,14,11,4,6,27,1,14,43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,14,,,,,,31,USA
Lebanon,,,,,,,,,43,,,,13,13,,,,,,,,6,6,,,1,1,,,,3,2,16,59,67,43,,,,,,,,,18,42,27,9,7,4,4,,,,,1,,,,16,10,,31,21,5,31,30,USA
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,USA
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Libya,,,,,,,,,,0,,,,3,15,9,7,,40,40,224,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,1,USA
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,13,4,3,3,,,0,,,,1,USA
Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,,USA
Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,0,,,,,0,,,,,,,,,,,USA
Madagascar,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Malaysia,,,,,,,,,,,,1,,,,,,,60,,,61,10,10,18,81,268,48,65,62,84,53,,20,4,128,93,,,,,29,,,51,181,,338,,11,,,9,31,10,2,14,14,,10,12,2,,0,10,4,6,USA
Mali,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,9,4,,,,,,,,,,,,,,,,,,,USA
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,USA
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,USA
Mauritius,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,USA
Mexico,,7,,6,,,,,16,2,6,26,107,60,34,,21,14,0,,82,44,9,151,13,25,8,23,51,,,70,238,3,,,12,116,77,54,26,18,6,150,54,,41,280,11,36,130,145,59,15,90,8,29,,20,27,28,90,49,47,33,262,280,USA
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Morocco,,,,,,,,,,,,,22,,0,45,135,87,5,,,1,,,107,92,100,253,162,97,71,415,108,142,,,18,2,36,55,33,43,,86,117,,34,137,,8,4,,,,,,20,,,3,33,439,430,45,9,46,244,USA
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16,40,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Myanmar,,,,,,,,4,,16,8,11,14,42,15,11,3,13,6,,,22,4,,,53,3,7,14,,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,5,,,,,USA
NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,750,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,35,USA
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Netherlands,58,331,268,508,434,219,432,309,203,57,207,183,281,552,810,703,166,87,129,236,303,297,316,21,40,67,217,444,548,543,510,662,893,978,848,556,427,595,361,667,269,283,201,79,140,37,99,61,254,243,122,178,202,45,95,55,237,28,12,88,38,13,148,130,1,11,43,USA
New Zealand,,,,,,,,,,,4,,8,,,1,239,4,56,,168,8,6,6,6,6,3,,,,,31,,5,5,7,22,,2,15,12,6,9,,,7,7,45,13,40,,45,15,48,33,,0,1,2,,,,,,55,81,,USA
Nicaragua,,,,3,13,5,1,,6,,2,8,6,8,0,0,2,,,,,5,5,5,,,7,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Niger,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,9,,USA
Nigeria,,,,,,,,,,,,,,,,,,,,,,4,,2,1,84,84,,8,,3,13,6,4,13,102,5,1,1,0,0,0,4,5,4,2,2,1,,,,,4,12,,,,,,,,54,,,62,7,10,USA
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
North Yemen,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,14,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Norway,18,69,368,412,19,160,194,137,142,108,143,101,44,221,60,55,369,388,265,518,59,,,14,1,49,23,25,17,32,237,377,388,383,204,33,19,140,155,393,56,15,15,28,15,42,108,102,73,84,75,62,8,14,5,3,65,71,119,107,85,81,68,26,1,112,112,USA
Oman,,,,,,,,,,,,,,,,,2,,,,,1,,0,,34,,,,,,39,41,59,10,,27,,,,36,,,6,16,10,27,5,12,,,1,6,4,13,148,283,16,71,2,2,,38,35,468,,105,USA
Pakistan,36,,0,,53,135,155,242,168,323,42,69,88,198,81,16,6,,11,,,,0,31,95,51,24,24,200,46,194,36,93,254,479,549,134,97,79,608,55,28,25,26,25,25,188,135,25,8,11,15,44,24,74,171,109,392,303,146,1025,269,276,151,198,73,37,USA
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Panama,,,,,,,,,,,,,,,0,,,,0,3,2,18,2,14,,23,6,4,2,,,,5,6,0,7,,,2,,,,2,,,,0,6,,,,,,,,,,,,5,,,15,,,,,USA
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,USA
Paraguay,5,,1,1,,0,,,,,8,,5,0,4,1,1,5,1,,0,1,1,0,,0,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,USA
Peru,,,76,,111,26,42,89,30,37,68,96,14,14,6,33,43,4,3,3,23,3,19,46,47,213,188,44,43,39,58,23,,67,34,59,11,39,109,,,15,12,3,,,26,4,12,1,,1,14,22,47,25,22,,,2,5,2,5,8,,11,,USA
Philippines,,2,1,32,2,36,42,45,28,24,51,45,11,4,2,97,86,41,18,26,9,90,52,110,12,109,237,137,145,46,63,10,3,111,39,23,,26,12,,11,13,42,45,43,4,2,14,31,,,9,5,3,20,12,13,13,10,0,,60,6,55,12,46,82,USA
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,122,8,138,14,5,11,346,850,481,87,41,16,16,,1,4,16,USA
Portugal,10,13,116,284,177,108,49,51,75,6,13,28,1,27,32,27,60,69,69,5,17,9,,,6,6,,94,119,2,12,44,136,,103,141,3,9,90,126,21,179,5,91,438,15,7,0,6,,2,18,,29,57,33,43,58,88,90,89,89,29,,1,,1,USA
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,280,,150,280,,,385,595,USA
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,USA
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,44,14,3,1,,,,14,3,22,2,32,61,42,3,3,0,3,14,USA
Rwanda,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Saudi Arabia,,,6,1,2,16,9,50,36,6,17,12,22,,,48,141,171,164,,,,80,157,368,372,377,749,829,499,640,1310,1871,1630,586,347,1435,1009,152,172,1049,397,888,2017,884,887,1406,1724,2212,1512,3,33,89,117,324,153,172,149,248,244,358,397,394,607,1403,1771,1908,USA
Senegal,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,USA
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,USA
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,USA
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Singapore,,,,,,,,,,,,,,,,,,,,6,44,41,8,38,128,156,186,116,50,282,337,90,92,170,72,60,,205,524,233,188,40,9,82,12,16,63,448,604,194,531,60,212,51,366,534,34,11,28,775,747,497,456,670,624,75,99,USA
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22,11,15,,,,,,0,,,,,,,,,,,,,1,,,USA
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,9,9,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,USA
South Africa,,73,92,,,,10,,,1,,,5,166,5,5,15,1,1,0,,,20,20,,,14,,,,,,,,,,11,2,,,,,,,,,,9,,18,,,,,,,14,30,11,9,13,16,9,,,,,USA
