,Scripts,title,Character,Season
3, Hi!,THE ONE WITH THE PEDIATRICIAN,Rachel,9
4, Hey! So what's the big news you had us rush all the way over here for?,THE ONE WITH THE PEDIATRICIAN,Ross,9
5," Okay, our news. My company has asked me to head up our office in ', ""  Tulsa , so as of Monday I'm being officially relocated.",THE ONE WITH THE PEDIATRICIAN,Chandler,9
6, Oh my God!,THE ONE WITH THE PEDIATRICIAN,Ross,9
7, What?!,THE ONE WITH THE PEDIATRICIAN,Phoebe,9
8, What?!,THE ONE WITH THE PEDIATRICIAN,Rachel,9
9, Monday?!,THE ONE WITH THE PEDIATRICIAN,Ross,9
10, How long do you have to go for?,THE ONE WITH THE PEDIATRICIAN,Joey,9
11, They said it could be up to a year.,THE ONE WITH THE PEDIATRICIAN,Chandler,9
12, A year?!,THE ONE WITH THE PEDIATRICIAN,Joey,9
13, (To Monica) Do you have to go?,THE ONE WITH THE PEDIATRICIAN,Rachel,9
14," I kind of have to don't I? Because of this stupid thing (Points to "", '  her wedding ring.)",THE ONE WITH THE PEDIATRICIAN,Monica,9
15," There is nothing like the support of your loving wife, huh?",THE ONE WITH THE PEDIATRICIAN,Chandler,9
16," Wait a minute, you can't go to Tulsa. Maybe you forgot, but we've got "", '  tickets to the Jets game next week.",THE ONE WITH THE PEDIATRICIAN,Joey,9
17," I'm sorry buddy, but I don't think I'm gonna be able to make it.",THE ONE WITH THE PEDIATRICIAN,Chandler,9
18, We were gonna go see the Jets!,THE ONE WITH THE PEDIATRICIAN,Joey,9
19," You can't go, I mean you're the glue that holds this group together!",THE ONE WITH THE PEDIATRICIAN,Ross,9
20, Really?,THE ONE WITH THE PEDIATRICIAN,Chandler,9
21, Not you.,THE ONE WITH THE PEDIATRICIAN,Ross,9
22, I can't believe you guys are moving.,THE ONE WITH THE PEDIATRICIAN,Joey,9
23, I call their apartment!!!,THE ONE WITH THE PEDIATRICIAN,Phoebe,9
24, No!!! Ah!! Ahh!!!,THE ONE WITH THE PEDIATRICIAN,Everyone,9
27, Here you are (Hands Rachel a cup of coffee),THE ONE WITH THE PEDIATRICIAN,Joey,9
28, Thank you Joey. You know what? I'm not even sure I can have caffeine.,THE ONE WITH THE PEDIATRICIAN,Rachel,9
29," I went thru this with Ben and Carol. One cup of coffee won't affect your "", '  milk.",THE ONE WITH THE PEDIATRICIAN,Ross,9
30, Yeah. Just to be sure I'm gonna call Dr. Wiener.,THE ONE WITH THE PEDIATRICIAN,Rachel,9
31, (Laughs),THE ONE WITH THE PEDIATRICIAN,Joey,9
32, Every time? (She takes up her cell phone and starts dialing.),THE ONE WITH THE PEDIATRICIAN,Rachel,9
33, Uhuh.,THE ONE WITH THE PEDIATRICIAN,Joey,9
34," Rach, you don't have to call whenever you have a little question, okay? "", '  Trust me, I know this.",THE ONE WITH THE PEDIATRICIAN,Ross,9
35," All right, I trust you. (Continues to dial)",THE ONE WITH THE PEDIATRICIAN,Rachel,9
36," Rachel, I can see you dialing! I don't understand why...",THE ONE WITH THE PEDIATRICIAN,Ross,9
37," I'm on the phone! (On the phone) Dr. Wiener? (Ross and Rachel walk "", '  away)",THE ONE WITH THE PEDIATRICIAN,Rachel,9
38, (Laughs),THE ONE WITH THE PEDIATRICIAN,Joey,9
