,unamed,Episode_Number,Character,count
1121,2654,191,ross,178
1122,2655,191,monica,174
1123,2656,191,chandler,152
1124,2657,191,rachel,130
1125,2659,191,phoebe,86
1126,2675,192,rachel,64
1127,2676,192,ross,64
1128,2677,192,joey,47
1129,2678,192,phoebe,47
1130,2679,192,monica,43
1131,2680,192,chandler,40
1132,2689,193,rachel,75
1133,2691,193,joey,37
1134,2692,193,ross,37
1135,2693,193,phoebe,36
1136,2694,193,monica,29
1137,2695,193,chandler,25
1138,2703,194,ross,52
1139,2704,194,rachel,42
1140,2705,194,joey,38
1141,2707,194,chandler,30
1142,2708,194,monica,29
1143,2710,194,phoebe,25
1144,2719,195,chandler,41
1145,2720,195,ross,40
1146,2721,195,phoebe,36
1147,2722,195,rachel,35
1148,2723,195,monica,32
1149,2725,195,joey,25
1150,2730,196,joey,65
1151,2731,196,ross,55
1152,2732,196,monica,54
1153,2733,196,rachel,54
1154,2734,196,chandler,48
1155,2735,196,phoebe,48
1156,2741,197,joey,52
1157,2742,197,chandler,40
1158,2743,197,monica,38
1159,2744,197,phoebe,31
1160,2745,197,ross,27
1161,2747,197,rachel,21
1162,2755,198,monica,65
1163,2756,198,chandler,55
1164,2757,198,phoebe,43
1165,2758,198,rachel,43
1166,2759,198,ross,40
1167,2760,198,joey,31
1168,2768,199,ross,57
1169,2769,199,chandler,52
1170,2770,199,joey,36
1171,2771,199,monica,36
1172,2773,199,phoebe,27
1173,2774,199,rachel,26
1174,2790,200,phoebe,66
1175,2791,200,monica,45
1176,2792,200,joey,42
1177,2793,200,ross,42
1178,2794,200,chandler,38
1179,2796,200,rachel,27
1180,2805,201,ross,70
1181,2806,201,rachel,63
1182,2807,201,joey,44
1183,2808,201,phoebe,38
1184,2809,201,monica,29
1185,2810,201,chandler,25
1186,2823,202,phoebe,51
1187,2824,202,rachel,49
1188,2825,202,joey,39
1189,2826,202,ross,39
1190,2827,202,monica,33
1191,2828,202,chandler,29
1192,2846,203,ross,50
1193,2847,203,chandler,34
1194,2848,203,rachel,32
1195,2849,203,joey,29
1196,2850,203,phoebe,28
1197,2851,203,monica,21
1198,2860,204,monica,54
1199,2861,204,ross,46
1200,2862,204,rachel,44
1201,2863,204,chandler,42
1202,2864,204,phoebe,30
1203,2865,204,joey,29
1204,2870,205,ross,158
1205,2871,205,monica,126
1206,2872,205,chandler,125
1207,2873,205,rachel,117
1208,2874,205,phoebe,115
1209,2875,205,joey,113
