Age,Athlete,Country,Medal,NOC,Rank,Time,Year
25,Brigitte Oertli,Switzerland,Silver,SUI,2,29.48,1988
24,Maria Walliser,Switzerland,Bronze,SUI,3,51.28,1988
21,Karen Percy,Canada,,CAN,4,54.47,1988
21,Lenka KebrlovÃ¡,Czechoslovakia,,TCH,5,60.87,1988
19,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,6,63.56,1988
20,Michelle McKendry-Ruthven,Canada,,CAN,7,64.85,1988
21,Kerrin Lee-Gartner,Canada,,CAN,8,65.26,1988
19,Ulrike Stanggassinger,West Germany,,FRG,9,71.51,1988
21,Michaela Marzola,Italy,,ITA,10,85.34,1988
18,Petra Kronberger,Austria,,AUT,11,88.01,1988
22,Sylvia Eder,Austria,,AUT,12,92.86,1988
19,Nancy Gee,Canada,,CAN,13,103.86,1988
25,Karin Dedler,West Germany,,FRG,14,105.18,1988
23,Beth Madsen,United States,,USA,15,108.64,1988
22,Jolanda Kindle,Liechtenstein,,LIE,16,112.72,1988
19,Kristin Krone,United States,,USA,17,114.81,1988
18,Jacqueline Vogt,Liechtenstein,,LIE,18,130.22,1988
21,Wendy Lumby,Great Britain,,GBR,19,138.06,1988
17,Sachiko Yamamoto,Japan,,JPN,20,139.01,1988
17,Mihaela Fera,Romania,,ROU,21,141.75,1988
22,Pascaline Freiher,France,,FRA,22,151.93,1988
18,Hilary Lindh,United States,,USA,23,164.57,1988
18,Carolina Eiras,Argentina,,ARG,24,248.1,1988
16,Carolina Birkner,Argentina,,ARG,25,255.95,1988
17,Mariela Vallecillo,Argentina,,ARG,26,352.72,1988
24,Carole Merle,France,,FRA,,,1988
23,Vreni Schneider,Switzerland,,SUI,,,1988
18,Emi Kawabata,Japan,,JPN,,,1988
21,Edie Thys,United States,,USA,,,1988
27,Christa Kinshofer-GÃ¼thlein,West Germany,,FRG,,,1988
23,Clare Booth,Great Britain,,GBR,,,1988
19,Astrid Steverlynck,Argentina,,ARG,,,1988
20,Ulrike Maier,Austria,,AUT,,,1988
20,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,,,1988
26,Claudine Emonet,France,,FRA,,,1988
23,Golnur Postnikova,Soviet Union,,URS,,,1988
23,Beatrice Gafner,Switzerland,,SUI,,,1988
22,Michaela Gerg-Leitner,West Germany,,FRG,,,1988
22,Petra Kronberger,Austria,Gold,AUT,1,2.55,1992
24,Anita Wachter,Austria,Silver,AUT,2,19.39,1992
23,Florence Masnada,France,Bronze,FRA,3,21.38,1992
24,Chantal Bournissen,Switzerland,,SUI,4,24.98,1992
26,Anne Berge,Norway,,NOR,5,35.28,1992
24,Michelle McKendry-Ruthven,Canada,,CAN,6,39.02,1992
24,NataÅ¡a Bokal,Slovenia,,SLO,7,42.6,1992
23,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,8,47.43,1992
24,Miriam Vogt,Germany,,GER,9,48.52,1992
21,RÃ©gine Cavagnoud,France,,FRA,10,51.13,1992
21,Krista Schmidinger,United States,,USA,11,51.56,1992
20,Svetlana Gladysheva,Unified Team,,EUN,12,61.25,1992
21,Emi Kawabata,Japan,,JPN,13,66.1,1992
24,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,14,69.07,1992
24,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,15,76.28,1992
18,Morena Gallizio,Italy,,ITA,16,93.21,1992
16,Emma Carrick-Anderson,Great Britain,,GBR,17,107.61,1992
18,Tetiana Lebedeva,Unified Team,,EUN,18,111.34,1992
17,Svetlana Novikova,Unified Team,,EUN,19,122.48,1992
19,Birgit Heeb-Batliner,Liechtenstein,,LIE,20,164.25,1992
22,Carolina Eiras,Argentina,,ARG,21,184.96,1992
20,Astrid LÃ¸demel,Norway,,NOR,22,210.94,1992
19,Katja Seizinger,Germany,,GER,,,1992
24,Ulrike Maier,Austria,,AUT,,,1992
22,BÃ©atrice Filliol,France,,FRA,,,1992
21,Sachiko Yamamoto,Japan,,JPN,,,1992
21,Mihaela Fera,Romania,,ROU,,,1992
23,Astrid Steverlynck,Argentina,,ARG,,,1992
24,Valerie Scott,Great Britain,,GBR,,,1992
17,Zali Steggall,Australia,,AUS,,,1992
22,Claire de Pourtales,Great Britain,,GBR,,,1992
18,Marina VidoviÄ,Yugoslavia,,YUG,,,1992
23,Kristin Krone,United States,,USA,,,1992
19,Varvara Zelenskaya,Unified Team,,EUN,,,1992
15,Arijana Boras,Yugoslavia,,YUG,,,1992
23,Merete Fjeldavlie,Norway,,NOR,,,1992
25,Kerrin Lee-Gartner,Canada,,CAN,,,1992
26,Michaela Gerg-Leitner,Germany,,GER,,,1992
18,Regina HÃ¤usl,Germany,,GER,,,1992
24,Heidi Zurbriggen,Switzerland,,SUI,,,1992
23,Pernilla Wiberg,Sweden,Gold,SWE,1,3:05.16,1994
29,Vreni Schneider,Switzerland,Silver,SUI,2,3:05.29,1994
18,Alenka DovÅ¾an,Slovenia,Bronze,SLO,3,3:06.64,1994
20,Morena Gallizio,Italy,,ITA,4,3:06.71,1994
20,Martina Ertl-Renz,Germany,,GER,5,3:08.78,1994
18,Katja Koren,Slovenia,,SLO,6,3:09.59,1994
25,Florence Masnada,France,,FRA,7,3:10.02,1994
18,Hilde Gerg,Germany,,GER,8,3:10.10,1994
26,Miriam Vogt,Germany,,GER,9,3:10.14,1994
22,Picabo Street,United States,,USA,10,3:10.15,1994
20,Erika Hansson,Sweden,,SWE,11,3:10.17,1994
23,Bibiana Perez,Italy,,ITA,12,3:10.64,1994
25,Lucia MedzihradskÃ¡,Slovakia,,SVK,13,3:12.37,1994
19,UrÅ¡ka Hrovat,Slovenia,,SLO,14,3:14.75,1994
21,Jeanette Lunde,Norway,,NOR,15,3:15.97,1994
22,Barbara Merlin,Italy,,ITA,16,3:17.31,1994
23,Emi Kawabata,Japan,,JPN,17,3:18.22,1994
28,Olha Lohinova,Ukraine,,UKR,18,3:19.43,1994
23,Olga Vedyacheva,Kazakhstan,,KAZ,19,3:20.87,1994
23,Mihaela Fera,Romania,,ROU,20,3:26.10,1994
19,Francisca Steverlynck,Argentina,,ARG,21,3:32.64,1994
18,Gabriela Quijano,Argentina,,ARG,22,3:33.51,1994
26,VÃ©ronique Dugailly,Belgium,,BEL,23,3:38.09,1994
24,Monique Pelletier,United States,,USA,24,3:38.79,1994
18,Jennifer Taylor,Argentina,,ARG,25,3:44.27,1994
18,Isolde Kostner,Italy,,ITA,,,1994
19,Zali Steggall,Australia,,AUS,,,1994
21,Katja Seizinger,Germany,,GER,,,1994
22,Svetlana Gladysheva,Russia,,RUS,,,1994
21,Varvara Zelenskaya,Russia,,RUS,,,1994
20,Å pela Pretnar,Slovenia,,SLO,,,1994
26,Michelle McKendry-Ruthven,Canada,,CAN,,,1994
22,Anja Haas,Austria,,AUT,,,1994
22,Nataliya Buga,Russia,,RUS,,,1994
22,Szvetlana Keszthelyi,Hungary,,HUN,,,1994
18,Mira Golub,Russia,,RUS,,,1994
17,OphÃ©lie David,Hungary,,HUN,,,1994
16,Khrystyna Podrushna,Ukraine,,UKR,,,1994
16,Maria Zaruc,Romania,,ROU,,,1994
24,Ingrid StÃ¶ckl,Austria,,AUT,,,1994
22,Julie Parisien,United States,,USA,,,1994
25,Katja Seizinger,Germany,Gold,GER,1,2:40.74,1998
24,Martina Ertl-Renz,Germany,Silver,GER,2,2:40.92,1998
22,Hilde Gerg,Germany,Bronze,GER,3,2:41.50,1998
28,Steffi Schuster,Austria,,AUT,4,2:42.25,1998
24,Morena Gallizio,Italy,,ITA,5,2:42.52,1998
29,Florence Masnada,France,,FRA,6,2:42.84,1998
18,Caroline Lalive,United States,,USA,7,2:44.76,1998
16,Janica KosteliÄ,Croatia,,CRO,8,2:45.23,1998
22,Alex Shaffer,United States,,USA,9,2:45.24,1998
21,Catherine Borghi,Switzerland,,SUI,10,2:45.33,1998
21,Brigitte Obermoser,Austria,,AUT,11,2:45.48,1998
19,Monika Bergmann-Schmuderer,Germany,,GER,12,2:45.84,1998
23,Ingeborg Helen Marken,Norway,,NOR,13,2:47.19,1998
18,Jonna Mendes,United States,,USA,14,2:48.59,1998
16,Lucie HrstkovÃ¡,Czech Republic,,CZE,15,2:49.96,1998
22,Junko Yamakawa,Japan,,JPN,16,2:50.36,1998
20,Tamara SchÃ¤dler,Liechtenstein,,LIE,17,2:52.18,1998
20,Kirsten Clark,United States,,USA,18,2:52.25,1998
20,Carola Calello,Argentina,,ARG,19,2:53.77,1998
21,Yuliya Kharkivska,Ukraine,,UKR,20,2:57.11,1998
21,MÃ³nika KovÃ¡cs,Hungary,,HUN,21,3:06.31,1998
22,Kristine Kristiansen,Norway,,NOR,,,1998
20,Brynja ÃorsteinsdÃ³ttir,Iceland,,ISL,,,1998
24,Michaela Dorfmeister,Austria,,AUT,,,1998
27,Pernilla Wiberg,Sweden,,SWE,,,1998
22,Renate GÃ¶tschl,Austria,,AUT,,,1998
27,Bibiana Perez,Italy,,ITA,,,1998
21,MÃ©lanie Turgeon,Canada,,CAN,,,1998
23,Trude Gimle,Norway,,NOR,,,1998
20,Janica KosteliÄ,Croatia,Gold,CRO,1,2:43.28,2002
26,Renate GÃ¶tschl,Austria,Silver,AUT,2,2:44.77,2002
28,Martina Ertl-Renz,Germany,Bronze,GER,3,2:45.16,2002
25,Marlies Oester,Switzerland,,SUI,4,2:46.61,2002
28,Michaela Dorfmeister,Austria,,AUT,5,2:46.85,2002
17,Lindsey Kildow-Vonn,United States,,USA,6,2:48.05,2002
21,GeneviÃ¨ve Simard,Canada,,CAN,7,2:48.14,2002
25,Catherine Borghi,Switzerland,,SUI,8,2:48.79,2002
23,Jenny Owens,Australia,,AUS,9,2:49.31,2002
22,Sara-Maude Boucher,Canada,,CAN,10,2:49.37,2002
24,Selina Heregger,Austria,,AUT,11,2:49.69,2002
25,Alice Jones,Australia,,AUS,12,2:50.22,2002
17,Julia Mancuso,United States,,USA,13,2:51.33,2002
19,Chemmy Alcott,Great Britain,,GBR,14,2:51.34,2002
26,Daniela Ceccarelli,Italy,,ITA,15,2:51.81,2002
23,Petra ZakouÅilovÃ¡,Czech Republic,,CZE,16,2:51.83,2002
17,Macarena Simari Birkner,Argentina,,ARG,17,2:52.90,2002
22,Lucia Recchia,Italy,,ITA,18,2:53.10,2002
24,Elena Tagliabue,Italy,,ITA,19,2:53.96,2002
19,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,20,2:55.92,2002
28,Patrizia Bassis,Italy,,ITA,21,2:58.08,2002
22,Alexandra Munteanu,Romania,,ROU,22,2:58.53,2002
20,Gabriela MartinovovÃ¡,Czech Republic,,CZE,23,2:58.66,2002
21,Rowena Bright,Australia,,AUS,24,3:10.68,2002
24,Janette Hargin,Sweden,,SWE,,,2002
26,Petra Haltmayr,Germany,,GER,,,2002
26,Hilde Gerg,Germany,,GER,,,2002
21,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,,,2002
22,Caroline Lalive,United States,,USA,,,2002
18,Christine Sponring,Austria,,AUT,,,2002
20,Lucie HrstkovÃ¡,Czech Republic,,CZE,,,2002
24,Janica KosteliÄ,Croatia,Gold,CRO,1,2:51.08,2006
24,Marlies Schild,Austria,Silver,AUT,2,2:51.58,2006
24,Anja PÃ¤rson,Sweden,Bronze,SWE,3,2:51.63,2006
19,Kathrin Zettel,Austria,,AUT,4,2:52.41,2006
22,Nicole Hosp,Austria,,AUT,5,2:53.21,2006
20,Michaela Kirchgasser,Austria,,AUT,6,2:53.48,2006
32,Martina Ertl-Renz,Germany,,GER,7,2:54.28,2006
22,Jessica Lindell-Vikarby,Sweden,,SWE,8,2:55.19,2006
21,Julia Mancuso,United States,,USA,9,2:55.44,2006
20,Brigitte Acton,Canada,,CAN,10,2:55.75,2006
20,Resi Stiegler,United States,,USA,11,2:55.79,2006
28,Janette Hargin,Sweden,,SWE,12,2:56.13,2006
25,Emily Brydon,Canada,,CAN,13,2:56.51,2006
24,Nike Bent,Sweden,,SWE,14,2:56.62,2006
21,Veronika ZuzulovÃ¡,Slovakia,,SVK,15,2:56.63,2006
27,Monika Bergmann-Schmuderer,Germany,,GER,16,2:56.80,2006
21,Kaylin Richardson,United States,,USA,17,2:56.83,2006
20,Marie Marchand-Arvier,France,,FRA,18,2:57.11,2006
21,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,19,2:57.14,2006
19,Nadia Fanchini,Italy,,ITA,20,2:57.15,2006
21,Petra Robnik,Slovenia,,SLO,21,2:57.40,2006
24,Lucie HrstkovÃ¡,Czech Republic,,CZE,22,2:59.57,2006
18,SoÅa MaculovÃ¡,Slovakia,,SVK,23,3:00.25,2006
27,Petra ZakouÅilovÃ¡,Czech Republic,,CZE,24,3:00.77,2006
24,Carolina Ruiz,Spain,,ESP,25,3:00.93,2006
21,Macarena Simari Birkner,Argentina,,ARG,26,3:02.66,2006
21,Wendy Siorpaes,Italy,,ITA,27,3:02.85,2006
25,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,28,3:04.25,2006
23,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,29,3:05.35,2006
15,Noelle Barahona,Chile,,CHI,30,3:26.62,2006
25,FrÃ¤nzi Aufdenblatten,Switzerland,,SUI,,,2006
21,Nika Fleiss,Croatia,,CRO,,,2006
21,Lindsey Kildow-Vonn,United States,,USA,,,2006
20,UrÅ¡ka RabiÄ,Slovenia,,SLO,,,2006
17,Anne-Sophie Barthet,France,,FRA,,,2006
24,Jelena LoloviÄ,Serbia and Montenegro,,SCG,,,2006
19,Shona Rubens,Canada,,CAN,,,2006
17,Eva HuÄkovÃ¡,Slovakia,,SVK,,,2006
16,Jana GantnerovÃ¡,Slovakia,,SVK,,,2006
22,Alexandra Coletti,Monaco,,MON,,,2006
21,Chirine Njeim,Lebanon,,LIB,,,2006
24,Daniela Merighetti,Italy,,ITA,,,2006
23,Chemmy Alcott,Great Britain,,GBR,,,2006
25,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1,2:09.14,2010
25,Julia Mancuso,United States,Silver,USA,2,2:10.08,2010
28,Anja PÃ¤rson,Sweden,Bronze,SWE,3,2:10.19,2010
23,Kathrin Zettel,Austria,,AUT,4,2:10.50,2010
26,Tina Maze,Slovenia,,SLO,5,2:10.53,2010
25,Fabienne Suter,Switzerland,,SUI,6,2:10.85,2010
25,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,7,2:11.02,2010
25,Hanna Schnarf,Italy,,ITA,8,2:11.29,2010
24,Michaela Kirchgasser,Austria,,AUT,9,2:11.35,2010
24,Marie Marchand-Arvier,France,,FRA,10,2:11.82,2010
27,Chemmy Alcott,Great Britain,,GBR,11,2:12.51,2010
23,Shona Rubens,Canada,,CAN,12,2:12.58,2010
18,Mona LÃ¸seth,Norway,,NOR,13,2:12.68,2010
29,Emily Brydon,Canada,,CAN,14,2:12.76,2010
21,MaruÅ¡a Ferk,Slovenia,,SLO,15,2:12.98,2010
20,Anna Fenninger,Austria,,AUT,16,2:13.27,2010
25,Kaylin Richardson,United States,,USA,17,2:13.40,2010
28,Elisabeth GÃ¶rgl,Austria,,AUT,18,2:13.58,2010
26,Alexandra Coletti,Monaco,,MON,19,2:13.81,2010
27,Sandrine Aubert,France,,FRA,20,2:13.96,2010
22,Leanne Smith,United States,,USA,21,2:13.97,2010
26,Jessica Lindell-Vikarby,Sweden,,SWE,22,2:14.16,2010
23,Andrea Dettling,Switzerland,,SUI,23,2:14.44,2010
21,Mireia GutiÃ©rrez,Andorra,,AND,24,2:15.67,2010
22,Agnieszka GÄsienica-Daniel,Poland,,POL,25,2:16.24,2010
25,Macarena Simari Birkner,Argentina,,ARG,26,2:16.37,2010
21,Anna Berecz,Hungary,,HUN,27,2:22.97,2010
19,Noelle Barahona,Chile,,CHI,28,2:24.25,2010
25,Lindsey Kildow-Vonn,United States,,USA,,,2010
27,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,,,2010
22,Gina Stechert,Germany,,GER,,,2010
23,Nadja Kamer,Switzerland,,SUI,,,2010
28,Daniela Merighetti,Italy,,ITA,,,2010
19,Yelena Prosteva,Russia,,RUS,,,2010
29,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1,2:34.62,2014
30,Nicole Hosp,Austria,Silver,AUT,2,2:35.02,2014
29,Julia Mancuso,United States,Bronze,USA,3,2:35.15,2014
30,Tina Maze,Slovenia,,SLO,4,2:35.25,2014
28,Dominique Gisin,Switzerland,,SUI,5,2:36.12,2014
21,Ragnhild Mowinckel,Norway,,NOR,6,2:36.15,2014
28,Michaela Kirchgasser,Austria,,AUT,7,2:36.41,2014
24,Anna Fenninger,Austria,,AUT,8,2:36.44,2014
28,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,9,2:36.61,2014
25,MaruÅ¡a Ferk,Slovenia,,SLO,10,2:36.89,2014
23,Federica Brignone,Italy,,ITA,11,2:37.62,2014
24,Denise Feierabend,Switzerland,,SUI,12,2:37.71,2014
21,Sara Hector,Sweden,,SWE,13,2:37.85,2014
21,Yelena Yakovishina,Russia,,RUS,14,2:38.88,2014
18,Greta Small,Australia,,AUS,15,2:40.30,2014
25,Edit MiklÃ³s,Hungary,,HUN,16,2:41.61,2014
24,Karolina Chrapek,Poland,,POL,17,2:41.80,2014
25,Mireia GutiÃ©rrez,Andorra,,AND,18,2:42.30,2014
24,KlÃ¡ra KÅÃ­Å¾ovÃ¡,Czech Republic,,CZE,19,2:42.40,2014
29,Macarena Simari Birkner,Argentina,,ARG,20,2:43.93,2014
25,Anna Berecz,Hungary,,HUN,21,2:48.69,2014
18,Ania Caill,Romania,,ROU,22,2:53.95,2014
27,Marianne Kaufmann-Abderhalden,Switzerland,,SUI,,,2014
23,Noelle Barahona,Chile,,CHI,,,2014
25,Laurenne Ross,United States,,USA,,,2014
29,Stacey Cook,United States,,USA,,,2014
30,Alexandra Coletti,Monaco,,MON,,,2014
32,Daniela Merighetti,Italy,,ITA,,,2014
31,Chemmy Alcott,Great Britain,,GBR,,,2014
28,Elena Fanchini,Italy,,ITA,,,2014
24,Francesca Marsaglia,Italy,,ITA,,,2014
18,Lotte Sejersted,Norway,,NOR,,,2014
22,Lara Gut,Switzerland,,SUI,,,2014
32,Elisabeth GÃ¶rgl,Austria,,AUT,,,2014
24,Marie-MichÃ¨le Gagnon,Canada,,CAN,,,2014
24,Jana GantnerovÃ¡,Slovakia,,SVK,,,2014
26,Leanne Smith,United States,,USA,,,2014
23,Ilka Å tuhec,Slovenia,,SLO,,,2014
22,KristÃ­na SaalovÃ¡,Slovakia,,SVK,,,2014
